Fish House Punch, PDT, 1.5 oz. Gosling's Black Seal Rum, .5 oz. Pierre Ferrand Ambre Cognac, .5 oz. Mathilde Pêche Liqueur, .5 oz. Lemon Juice, .5 oz. Simple Syrup, .25 oz. Lime Juice,,,,,,,,
Field Cocktail, PDT, 2 oz. Pierre Ferrand Ambre Cognac, 1 oz. Noilly Prat Dry Vermouth, .75 oz. Pineapple Juice,,,,,,,,,,,
Figetaboutit, PDT, 2 oz. Bulleit Bourbon Whiskey, .75 oz. Lemon Juice, .25 oz. Luxardo Amaretto, 1 barspoon St. Dalfour Fig Jam, 2 dashes Angostura Bitters,,,,,,,,,
Devil Inside, Death & Co, Laphroaig 10-Year Scotch Whisky, 1.5 ounces Rittenhouse 100 Rye Whiskey, .5 ounce Bruichladdich Port Charlotte 7-Year Scotch Whisky, 2 dashes Vieux Pontarlier Absinthe, 1 teaspoon Rich Demerara Syrup, 2 dashes House Peychaud's Bitters, Lemon Peel,,,,,,,
Dhalgren, Death & Co, 2 ounces Siembra Azul Blanco Tequila, 1 ounce Otima 10-Year Tawny Port, .5 ounce Lime Juice, .5 ounce Ginger Syrup, 1 dash Angostura Bitters, Wheel of Lime (Garnish),,,,,,,,
Derby Girl, Death & Co, 3 small slices of Nectarine, 1.5 ounces Lillet Blanc, .5 ounce Suze Saveur D'Autrefois Liqueur, .5 ounce Koval Rose Hip Liqueur, .25 ounce Acacia Honey Syrup, Bouquet of Mint (Garnish),,,,,,,,
Four In Hand, Death & Co, .75 ounce Old Grand-Dad 114 Bourbon, .75 ounce Laird's Bonded Apple Brandy, .25 ounce Smith & Cross Rum, .25 ounce Green Chartreuse, 1 teaspoon Cinnamon Bark Syrup, 1 teaspoon Vanilla Syrup, Orange Peel (Garnish),,,,,,,
Don't Sit Under The Apple Tree, Death & Co, 2 ounces Laird's Bonded Apple Brandy, .5 ounce Lemon Juice, 1 ounce Braeburn Apple Syrup, 1 Egg White, 1 dash Fee Brothers Whiskey Barrel-Aged Bitters, Slice of Braeburn Apple (Garnish),,,,,,,,
Fair Fault, Death & Co, 2 ounces Pasquet Pineau Des Charentes, .5 ounce Cruzan Single-Barrel Rum, .5 ounce Granny Smith Apple Juice, .5 ounce Lemon Juice, .25 ounce Rich Cane Sugar Syrup, 1 teaspoon Cruzan Black Strap Rum,,,,,,,,
Flor De Jerez, Death & Co, .5 ounce Appleton Estate Reserve Rum, 1.5 ounces Lustau Amontillado Sherry, .25 ounce Rothman & Winter Apricot Liqueur, .75 ounce Lemon Juice, .5 ounce Rich Cane Sugar Syrup, 1 dash Angostura Bitters,,,,,,,,
Golden Beautiful, Death & Co, 2 ounces Siete Leguas Reposado Tequila, .25 ounce Campari, .75 ounce Lime Juice, .5 ounce Vanilla Syrup, .25 ounce Passion Fruit Syrup, .5 ounce Club Soda, Lime Zest (Garnish),,,,,,,
Gypsy Wedding, Death & Co, Rim with Toasted Fennel Salt (Garnish), 6 Green Grapes, 1.5 ounces Bombay London Dry Gin, .5 ounce Krogstad Aquavit, .25 ounce Velvet Falernum, .75 ounce Lime Juice, .5 ounce Grapefruit Juice, .5 ounce Acacia Honey Syrup,,,,,,
Kingston Negroni, Death & Co, 1 ounce Smith & Cross Rum, 1 ounce Carpano Antica Formula Vermouth, 1 ounce Campari, Orange Peel (Garnish),,,,,,,,,,
Ingénue, Death & Co, 2 ounces Pierre Ferrand Ambre Cognac, 1 ounce Dolin Rouge Vermouth, 1 teaspoon Cinnamon Bark Syrup,,,,,,,,,,,
Manhattan Transfer, Death & Co, 1.5 ounces Rittenhouse 100 Rye Whiskey, 1 ounce Dry Vermouth, 1 ounce Amaro Ramazzotti, 1 dash House Orange Bitters,,,,,,,,,,
Mañanita, Death & Co, 1 ounce Sombra Mezcal, 1 ounce Coffee-And Chile-Infused Campari, 1 ounce House Sweet Vermouth, Orange Peel (Garnish),,,,,,,,,,
Meridian Daiquiri, Death & Co, 5 pods of Cardamom, 1.5 ounces Linie Aquavit, .5 ounce Scarlet Ibis Rum, .75 ounce Pineapple Juice, .5 ounce Lime Juice, .5 ounce Ginger Syrup, Wheel of Lime (Garnish),,,,,,,
Monongahela Mule, Death & Co, 4 Raspberry, 6 leaves of Mint, 2 ounces Old Overholt Rye Whiskey, .75 ounce Lemon Juice, .5 ounce Ginger Syrup, Sprig of Mint (Garnish),,,,,,,,
Mexi-Gin Martini, Death & Co, 2 ounces Plymouth Gin, .5 ounce Dolin Dry Vermouth, .25 ounce Del Maguey Crema De Mezcal, .25 ounce Jalapeño-Infused Siembra Azul Blanco Tequila, .25 ounce Green Chartreuse, 1 dash Bitter Truth Celery Bitters,,,,,,,,
Mexican Firing Squad, Death & Co, 1.5 ounces Tapatio 110 Blanco Tequila, .75 ounce Lime Juice, .5 ounce Rich Cane Sugar Syrup, .25 ounce Grenadine, 2 dashes Bittermens Hellfire Habanero Shrub, Wheel of Lime (Garnish), Flag with Cherry (Garnish),,,,,,,
Miss Behavin', Death & Co, .75 ounce Clear Creek Pear Brandy, .75 ounce Laird's Bonded Apple Brandy, .75 ounce Lemon Juice, 1 ounce Simple Syrup, Dry Champagne, Slice of Anjou Pear (Garnish),,,,,,,,
Perfect Crime, Death & Co, 1.75 ounces Sombra Mezcal, .5 ounce Pasquet Marie-Framboise, .5 ounce Amaro Averna, 1 teaspoon Vanilla Syrup, 2 dashes House Orange Bitters, 2 skewered Raspberry (Garnish),,,,,,,,
Pendennis Club Cocktail, Death & Co, 2 ounces Plymouth Gin, .75 ounce Pendennis Mix, .75 ounce Lime Juice, 2 dashes House Peychaud's Bitters, Wedge of Lime (Garnish),,,,,,,,,
Robert Johnson Swizzle, Death & Co, 2 ounces Evan Williams Single-Barrel Bourbon, .75 ounce Otima 10-Year Tawny Port, .5 ounce Lemon Juice, .75 ounce Vanilla Syrup, 2 dashes Fee Brothers Whiskey Barrel-Aged Bitters, 3 dashes House Peychaud's Bitters, Sprig of Mint (Garnish),,,,,,,
Mig Royale, Death & Co, 1 ounce Plymouth Gin, .75 ounce Cointreau, .5 ounce Luxardo Maraschino Liqueur, .5 ounce Lemon Juice, Dry Champagne,,,,,,,,,
Pete's Word, Death & Co, .75 ounce Laphroaig 10-Year Scotch Whisky, .75 ounce Luxardo Maraschino Liqueur, .75 ounce Green Chartreuse, .75 ounce Lime Juice,,,,,,,,,,
Short Rib, Death & Co, 2 ounces Jalapeño-Infused Siembra Azul Blanco Tequila, .75 ounce Lime Juice, 1 ounce Simple Syrup, .75 teaspoon Pomegranate Molasses,,,,,,,,,,
Shoots And Ladders, Death & Co, 1.5 ounces Basil-Infused Dolin Blanc Vermouth, 1.5 ounces Lustau Amontillado Sherry, .5 ounce Jalapeño-Infused Siembra Azul Blanco Tequila, .5 teaspoon Rich Cane Sugar Syrup,,,,,,,,,,
Rigadoon, Death & Co, 2 ounces Tanqueray London Dry Gin, .75 ounce Boiron Kalamansi Purée, .25 ounce Lemon Juice, .75 ounce Simple Syrup, 4 leaves Thai Basil, 1 leaf of Thai Basil (Garnish),,,,,,,,
Solera Sidecar, Death & Co, 1.5 ounces Hine H Cognac, .5 ounce East India Solera Sherry, .25 ounce Grand Marnier, .25 ounce Lazzaroni Amaretto, .5 ounce Lemon Juice, .25 ounce Simple Syrup,,,,,,,,
Snake Hips Swizzle, Death & Co, 1.5 ounces Hine H Cognac, .25 ounce Grand Marnier, .5 ounce Morenita Cream Sherry, .5 ounce Lemon Juice, .5 ounce Maple Syrup, 1 teaspoon Cinnamon Bark Syrup, 2 dashes Angostura Bitters,,,,,,,
Smoked Julep, Death & Co, 1 ounce Laphroaig 12-Year Scotch Whisky, 1 ounce Laird's Bonded Apple Brandy, .25 ounce Maple Syrup, Fan of Apple (Garnish), Bouquet of Mint (Garnish),,,,,,,,,
St. Matilda, Death & Co, cubed half of a Bartlett Pear, 2 ounces Siembra Azul Blanco Tequila, .25 ounce Mathilde Poire Pear Liqueur, .5 ounce Lemon Juice, .5 ounce Simple Syrup, Slice of Bartlett Pear (Garnish),,,,,,,,
St. James Infirmary, Death & Co, 1.5 ounces Plantation Barbados 5-Year Rum, .5 ounce St. James Royal Ambre Rhum Agricole, .5 ounce Cocchi Vermouth Di Torino, .5 ounce Morenita Cream Sherry, 1 teaspoon Simple Syrup, 2 dashes Bittermens 'Elemakule Tiki Bitters, 1 dash Bitter Truth Jerry Thomas' Own Decanter Bitters, Orange Peel (Garnish),,,,,,
Smoked Horchata, Death & Co, 1 ounce Fortaleza Reposado Tequila, 1 ounce Del Maguey Crema De Mezcal, .25 ounce Cinnamon Bark Syrup, 2 ounces House Horchata, 1 dash Angostura Bitters, 1 stick of Cinnamon (Garnish),,,,,,,,
Stolen Huffy, Death & Co, 1.5 ounces Red Thai Chile-Infused Rittenhouse Rye Whiskey, 1 teaspoon Del Maguey Chichicapa Mezcal, .75 ounce House Sweet Vermouth, .5 ounce Pierre Ferrand Dry Curaçao, 1 teaspoon Rich Cane Sugar Syrup, 1 dash Angostura Bitters,,,,,,,,
Tailspin, Death & Co, Campari, 1.5 ounces Beefeater London Dry Gin, 1 ounce Carpano Antica Formula Vermouth, 1 ounce Green Chartreuse, 1 dash House Orange Bitters, Lemon Peel (Garnish),,,,,,,,
Stick The Landing, Death & Co, 1 ounce Louis Royer Force 53 Cognac, 1 ounce Redbreast 12-Year Irish Whiskey, 1 teaspoon Massenez Crème De Pêche Peach Liqueur, .75 ounce Lemon Juice, .5 ounce Rich Cane Sugar Syrup, 2 dashes Angostura Bitters,,,,,,,,
Sweet Hereafter, Death & Co, Grapefruit Peel, 2 ounces Campo De Encanto Acholado Pisco, .5 ounce Cocchi Americano, .5 ounce Dolin Blanc Vermouth, 1 teaspoon St-Germain, 1 dash Bittermens Hopped Grapefruit Bitters,,,,,,,,
The Dangerous Summer, Death & Co, 1.5 ounces Yamazaki 12-Year Japanese Whisky, .75 ounce Dolin Rouge Vermouth, .5 ounce Solerno Blood Orange Liqueur, .5 ounce Massenez Kirsch Vieux Cherry Brandy, Orange Peel,,,,,,,,,
The Commandant, Death & Co, 1.5 ounces Perry's Tot Navy-Strength Gin, .5 ounce Kronan Swedish Punsch, .25 ounce Velvet Falernum, .75 ounce Lime Juice, .5 ounce Coco Lopez, 1 small, fresh leaf of Kaffir Lime, Wheel of Lime (Garnish),,,,,,
The Black Prince, Death & Co, 2 ounces Zacapa 23-Year Rum, .75 ounce Punt E Mes, .5 ounce Amaro Averna, 1 dash House Orange Bitters,,,,,,,,,,
The Bittenbender, Death & Co, 4 Raspberry, Lemon Peel, Orange Peel, 2 ounces Russell's Reserve 10-Year Bourbon, .75 ounce Cacao Nib-Infused Campari, .75 ounce Lemon Juice, .75 ounce Ginger Syrup, 1 ounce Dry Champagne, Wheel of Lemon (Garnish),,,,,
Terrible Love, Death & Co, 1.5 ounces Del Maguey Chichicapa Mezcal, .75 ounce Suze Saveur D'Autrefois Liqueur, .5 ounce St-Germain, 1 dash House Orange Bitters, Grapefruit Peel (Garnish),,,,,,,,,
Trembling Bell, Death & Co, 1.5 ounces Chamomile-Infused Old Overholt Rye Whiskey, 1 ounce Knappogue Castle 12-Year Irish Whiskey, .75 ounce Cocchi Americano, 1 teaspoon Massenez Crème De Pêche Peach Liqueur, .5 teaspoon Acacia Honey Syrup, Lemon Peel,,,,,,,,
Toronto, Death & Co, 2 ounces Rittenhouse 100 Rye Whiskey, .5 ounce Fernet-Branca, 1 teaspoon Rich Demerara Syrup, Lemon Peel (Garnish),,,,,,,,,,
Trapeze, Death & Co, .5 ounce Royal Combier Liqueur, .5 ounce Yellow Chartreuse, .5 ounce Campari, 1 dash Fee Brothers Whiskey Barrel-Aged Bitters, Dry Champagne, Orange Peel (Garnish),,,,,,,,
Warehouse C, Death & Co, 1 Strawberry, 1.5 ounces Buffalo Trace Bourbon, .75 ounce Lemon Juice, .25 ounce Lime Juice, .25 ounce Orgeat, .25 ounce Cinnamon Bark Syrup, .25 ounce Ginger Syrup, 1 dash Bitter Truth Aromatic Bitters,,,,,,
Ward 8, Death & Co, 2 ounces Old Overholt Rye Whiskey, .5 ounce Lemon Juice, .5 ounce Orange Juice, .5 ounce Simple Syrup, 1 teaspoon Pomegranate Molasses,,,,,,,,,
Vipera, Death & Co, 2 ounces Spiced Pear-Infused Siembra Azul Blanco Tequila, .5 ounce Laird's Bonded Apple Brandy, .5 ounce Yellow Chartreuse, Slice of Anjou Pear (Garnish),,,,,,,,,,
Yama Blanca, Death & Co, 1.5 ounces Centinela Reposado Tequila, .5 ounce Jalapeño-Infused Siembra Azul Blanco Tequila, .75 ounce Dolin Blanc Vermouth, .25 ounce Velvet Falernum,,,,,,,,,,
Wooden Ship, Death & Co, 1 ounce Tanqueray No. Ten Gin, 1 ounce Bols Genever, .5 ounce Grand Marnier, .5 teaspoon Rich Cane Sugar Syrup, 1 dash Fee Brothers Whiskey Barrel-Aged Bitters, Lemon Peel (Garnish),,,,,,,,
Widow's Laurel, Death & Co, 2 ounces Busnel VSOP Calvados, .5 ounce Drambuie, .5 ounce Carpano Antica Formula Vermouth, 1 teaspoon St. Elizabeth Allspice Dram, 1 dash Angostura Bitters, 3 Brandied Cherry (Garnish),,,,,,,,
Zombie Punch, Death & Co, 1.5 ounces Appleton Estate V/X Rum, 1.5 ounces Ron Del Barrilito 3-Star Rum, 1 ounce Lemon Hart 151 Rum, .75 ounce Zombie Mix, .5 ounce Donn's Spices #2, .75 ounce Lime Juice, 1 dash Angostura Bitters, Sprig of Mint (Garnish),,,,,,
Zombie, The Craft of the Cocktail, .5 ounce Lime Juice, .5 ounce Lemon Juice, 1.5 ounces Orange Juice, 1.5 ounces Passion Fruit Purée, .25 ounce Grenadine, 1 ounce Curaçao, 1 ounce Apricot Brandy, In Lieu Of Curaçao (Optional), 1 ounce Dark Rum, 1 ounce Light Rum, 2 dashes Angostura Bitters, float of Overproof Rum (Optional), Sprig of Mint (Garnish), Fruit (Garnish)
Wonder Bra, The Craft of the Cocktail, 1.5 ounces Gin, .75 ounce Cointreau, 1 ounce Pineapple Juice,,,,,,,,,,,
Zihuatanejo Julep, Death & Co, Sprig of Mint, 2 ounces El Tesoro Reposado Tequila, 1 teaspoon Rich Demerara Syrup, .5 ounce Del Maguey Chichicapa Mezcal, 1 stick of Cinnamon (Garnish), Bouquet of Mint (Garnish),,,,,,,,
Yin Martini, The Craft of the Cocktail, 3 ounces Sake, .5 ounce Gin, Oriental Fruit (Garnish) (Optional), Litchi Nut (Garnish) (Optional),,,,,,,,,,
Yellow Bird, The Craft of the Cocktail, 2 ounces Rum, .5 ounce Triple Sec, .5 ounce Galliano, .75 ounce Lime Juice, Lime Peel (Garnish),,,,,,,,,
Yang Martini, The Craft of the Cocktail, 3 ounces Gin, .5 ounce Sake, two Olive (Garnish),,,,,,,,,,,
Winston Martini, The Craft of the Cocktail, Dash Frangelico, 1 ounce Spiced Rum, 1 ounce Gin, Scant dash Rose's Lime Juice, Lemon Peel (Garnish),,,,,,,,,
White Wine Spritzer, The Craft of the Cocktail, White Wine, Soda Water, Lemon Peel (Garnish),,,,,,,,,,,
White Tiger's Milk, The Craft of the Cocktail, 2 ounces Applejack Or Calvados, 2 ounces Marie Brizard Apry, .5 teaspoon Angostura Bitters, 2 ounces Simple Syrup, 1 beaten stiff Egg White, .5 pint Whole Milk, Nutmeg (Garnish),,,,,,,
White Bat, The Craft of the Cocktail, 1.5 ounces Bacardi Rum, .5 ounce Kahlúa, 1.5 ounces Milk Or Half-and-half, 3 ounces Coca-Cola,,,,,,,,,,
White Lady, The Craft of the Cocktail, 1.5 ounces Gin, 1 ounce Lemon Juice, 1 ounce Cointreau,,,,,,,,,,,
Whiskey Plush, The Craft of the Cocktail, 1 ounce Irish Whiskey, 1 ounce Baileys Irish Cream, .5 ounce Simple Syrup, 4 ounces Milk Or Cream, 4 dashes Angostura Bitters, Nutmeg (Garnish),,,,,,,,
Whiskey Smash, The Craft of the Cocktail, 2 pieces Lemon, 2 to 3 leaves Mint, .75 ounce Simple Syrup, 1.5 ounces Maker's Mark Bourbon Whiskey, 1 ounce Water, Sprig of Mint,,,,,,,,
Whiskey Peach Smash, The Craft of the Cocktail, 4 small quarters of Peach, 3 leaves of Mint, 2 pieces of Lemon, 1 ounce Water, .5 ounce Simple Syrup, 2 ounces Canadian Whiskey, 1 sprig of Mint, slice of Peach (Garnish),,,,,,
Whiskey Fizz, The Craft of the Cocktail, 1.5 ounces American Whiskey, .75 ounce Lemon Juice, 1 ounce Simple Syrup, 3 ounces Lemon-Lime Soda,,,,,,,,,,
Whiskey Daisy, The Craft of the Cocktail, 1 wedge of Lime, quartered half Lemon, .75 ounce Simple Syrup, .5 ounce Yellow Chartreuse, 1.5 ounces American Whiskey, wedge of Lemon (Garnish), wedge of Lime (Garnish), Cherry (Garnish),,,,,,
Whiskey Cobbler, The Craft of the Cocktail, 2  wedges Pineapple, 2 slices Orange, 2  wedges Lemon, .75 ounce Curaçao, 2 ounces Whiskey,,,,,,,,,
Ward Eight, The Craft of the Cocktail, 2 ounces Bourbon Whiskey, 1 ounce Simple Syrup, .75 ounce Lemon Juice, .25 ounce Grenadine, slice of Orange (Garnish), Cherry (Garnish),,,,,,,,
Watermelon Martini, The Craft of the Cocktail, .5 ounce Lemon Juice, 1 ounce Midori, 1 ounce Citrus Vodka, 1.5 ounces Watermelon Juice, Sprigs of Mint (Garnish),,,,,,,,,
Waldorf, The Craft of the Cocktail, .25 ounce Ricard, 2 ounces Bourbon Or Rye Whiskey, .75 ounce Sweet Vermouth, 2 dashes Angostura Bitters,,,,,,,,,,
Vermouth Cassis, The Craft of the Cocktail, .75 ounce Crème De Cassis, 4 ounces Dry Vermouth, Twist of Lemon Peel (Garnish),,,,,,,,,,,
Vesper, The Craft of the Cocktail, 1 part Vodka, 3 parts Gin, .25 ounce Lille Blanc, Orange Peel (Garnish),,,,,,,,,,
Vendome, The Craft of the Cocktail, 1 ounce Red Dubonnet, 1 ounce Gin, 1 ounce Dry Vermouth, Lemon Peel (Garnish),,,,,,,,,,
Velvet Hammer, The Craft of the Cocktail, .75 ounce Triple Sec, .75 ounce White Crème De Cacao, 2 ounces Heavy Cream, Nutmeg (Garnish),,,,,,,,,,
Valencia II, The Craft of the Cocktail, .5 ounce Apricot Brandy, 1 ounce Orange Juice, 2 dashes Orange Bitters, Champagne Champagne, Flamed Orange Peel (Garnish),,,,,,,,,
Valencia, The Craft of the Cocktail, .5 ounce Fino Sherry, Several Orange Peel, 2.5 ounces Gin,,,,,,,,,,,
Upside-Down Martini, The Craft of the Cocktail, 2.5 ounces Dry Vermouth, 1 ounce Gin, Lemon Peel (Garnish),,,,,,,,,,,
Tuxedo, The Craft of the Cocktail, 2 ounces Gin, 1 ounce Dry Vermouth, 2 dashes Maraschino Liqueur, 2 dashes Anisette,,,,,,,,,,
Twentieth Century, The Craft of the Cocktail, 2 ounces Gin, .25 ounce White Crème De Cacao, .5 ounce Lille Blanc, .25 ounce Lemon Juice,,,,,,,,,,
Tropical Whiskey Punch, The Craft of the Cocktail, 4 1-inch cubes of Mango, 1 wedge of Lemon, 2 wedges of Pineapple, 1 ounce Water, .75 ounce Simple Syrup, 2 ounces Crown Royal Canadian Whiskey, wedge of Pineapple (Garnish), wedge of Lemon (Garnish), Cherry (Garnish),,,,,
Tropical Highball, The Craft of the Cocktail, 1.5 ounces Mount Gay Rum, dashes Angostura Bitters, 4 ounces Ginger Ale, wedge of Lime (Garnish),,,,,,,,,,
Trinidad, The Craft of the Cocktail, 1.5 ounces Bacardi Rum, 4 dashes Angostura Bitters, 5 ounces Coca-Cola, wedge of Lime (Garnish),,,,,,,,,,
Tropical Cocktail, The Craft of the Cocktail, 2 ounces Light Rum, .75 ounce Curaçao, .5 ounce Lime Juice,,,,,,,,,,,
Traditional Grog (Hot), The Craft of the Cocktail, 1.5 ounce Heavy-bodied Rum, 1 ounce Honey Syrup, .75 ounce Lemon Juice, 4 ounces Hot Water, stick of Cinnamon (Garnish),,,,,,,,,
Traditional Grog (Cold), The Craft of the Cocktail, 1.5 ounce Heavy-bodied Rum, 1 ounce Honey Syrup, .75 ounce Lemon Juice, 4 ounces Water, Lemon (Garnish),,,,,,,,,
Tom Collins, The Craft of the Cocktail, 1.5 ounces Gin, .75 ounce Lemon Juice, 1 ounce Simple Syrup, 4 ounces Soda Water, slice of Orange (Garnish), Cherry (Garnish),,,,,,,,
Ti Punch, The Craft of the Cocktail, 1.5 ounces Rum, .5 ounce Falernum, .5 ounce Simple Syrup, .75 ounce Lime Juice, wedge of Lime (Garnish),,,,,,,,,
Toasted Almond, The Craft of the Cocktail, .75 ounce Amaretto, .75 ounce Kahlúa, 2 ounces Heavy Cream,,,,,,,,,,,
The Mary Pickford, The Craft of the Cocktail, 2 ounces White Rum, 1.5 ounces Pineapple Juice, 1 teaspoon Grenadine, .25 ounce Maraschino Liqueur,,,,,,,,,,
Texas Tea, The Craft of the Cocktail, .5 ounce Tequila, .25 ounce Vodka, .25 ounce White Rum, .5 ounce Triple Sec, 1 ounce Lemon Juice, 3-4 ounces Coca-Cola, .5 ounce Simple Syrup (Optional), Lemon (Garnish),,,,,,
Tequila Sunrise, The Craft of the Cocktail, 1.5 ounces White Tequila, 4 or 5 ounces Orange Juice, Grenadine,,,,,,,,,,,
The Vodkatini, The Craft of the Cocktail, 3 ounces Vodka, Pitted Cocktail Olive (Garnish),,,,,,,,,,,,
The Dorothy, The Craft of the Cocktail, 2 ounces Light Rum, .5 ounce Orange Juice, .5 ounce Pineapple Juice, .25 ounce Marie Brizard Apry,,,,,,,,,,
Tangerine Margarita, The Craft of the Cocktail, 2 ounces Sauza Conmemorativo Tequila, 1 ounce Cointreau, .5 ounce Lime Juice, .5 ounce Tangerine Juice, Salt (Garnish),,,,,,,,,
Swizzle, The Craft of the Cocktail, 1.5 ounces Rum, .25 ounce Falernum, .5 ounce Lime Juice, .5 ounce Simple Syrup, dash Angostura Bitters, piece of Lime (Garnish),,,,,,,,
Suntory Cocktail, The Craft of the Cocktail, 1.5 ounces Absolut Citron Vodka, 1 ounce Midori, 1 ounce Grapefruit Juice,,,,,,,,,,,
Sunset Breeze, The Craft of the Cocktail, .5 ounce Absolut Vodka, .5 ounce Absolut Citron Vodka, 1.5 ounces Bacardi Tropico, .5 ounce Lime Juice, .5 ounce Peter Heering Cherry Heering, .5 ounce Simple Syrup, Orange Peel (Garnish),,,,,,,
Sunflower Highball, The Craft of the Cocktail, 1 ounce Absolut Vodka, 1 ounce Licor 43, 5 ounces Orange Juice, Nutmeg (Garnish),,,,,,,,,,
Strawberry Cosmopolitan, The Craft of the Cocktail, 2 to 4 (depending on size) Strawberry, 1 ounce Cointreau, .25 ounce Lime Juice, 1.5 ounces Citrus Vodka,,,,,,,,,,
Suffering Bastard, The Craft of the Cocktail, 1.5 ounces Good Medium-bodied Rum, 1 ounce Overproof Rum, Such As Wray & Nephew Or Bacardi 151, .75 ounce Curaçao, .5 ounce Orgeat, 1 ounce Lime Juice, 2 ounces Orange Juice, slice of Lime (Garnish), slice of Orange (Garnish),,,,,
